,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17,NC,680581,680581,NC,646348,327542,69,275.4,NC,72,85,85,385,425,NR,NR,3161,1469,3161,5.5,5.5,19341,17386,8080,24,8760,0,13518,182435.16,1099094.95,5647589.26,376795.03,1186575.07,2555174.44,2279239.46,2589237.29,2990043.13,370469.33,1085023.2,7,18,519,522,55,58,15,10,54,1,8,26.7
18,NC,4015805.43,4015805.43,NC,3300345,NC,415,574,NC,NC,180,198,955,972,NC,NC,15475,5177,11362,5,5,82630,77375,25885,24,8760,NR,31104,538525.78,3283172.04,32087172.43,17869098.73,8190838.85,8408291.94,7589584.78,8502534.44,8502534.44,1300158.17,1300158.17,12,87,1282,1518,20,57,83,937,160.3,NC,NC,NC
19,NC,1139027,1139027,NC,707252,455169.6,267.12,285,NC,203.61,72,109,439,492,0,0,3967,841,3897,5.5,5.5,22759,21818,4625,24,8760,0,1504.17,50932,513619.23,10922680,497581,1589114.88,2395818.89,1910706.26,2034541.72,2617557.55,170121.41,291000,5,15,3181,3181,25,25,23,830,72.68,NR,NR,NR
20,671448.9,772852.64,1154474.47,381621.82,914631,353203.2,295.2,146,90,195.12,308,302,2023,2081,NR,NR,8692,7256,7309,5.07,5.07,47884,44068,36788,24,8760,21395627.97,4970123.33,35189.34,358540.53,8604134.65,1173358.52,3002406.14,3038295.7,2767979.2,2654011.1,3059651.44,13755,13755,17,32,708,710,16,18,77,192,136.3,149,55,79.2
21,401497.12,NC,387384,NC,262387,NC,403.2,NC,NC,NC,20,48,127,142,NC,NC,1778,NC,1758,6,NC,24499,10668,NC,24,8760,1178,17852,21773.96,667684.81,1911828,334514.07,97775.4,1710285.66,1697277.04,1653082.02,1774881.2,163180.23,163180.23,3,7,120,121,9,10,19,NR,79.1,NC,NC,NC
22,NC,956721,956721,NC,852818,466127.05,162,499.21,NC,98.46,115,133,855,919,31,40,4978,2262,4978,6,6,30926,29868,13572,24,8760,0,333062.5,1539993.17,387178.25,9959230.98,223665,813807,3026740.16,2790877,2482358.2,3007737.74,893765,1147230,5,12,819,819,43,46,45,137,79.78,0,0,26.21
23,NC,1717569.69,1717569.69,NC,1336120,NR,280.8,211,NC,126,108,193,560,584,4,9,6367,1551,6365,5,5,39548,31825,7755,24,8760,0,0,38218,1755946.3,18938647.4,2887090,442278,4908351.29,4144487.38,4612940.2,5614877.11,647400.91,1748666,9,30,298,298,0,0,NR,NR,77.85,NR,NR,15.07
24,NC,458612.51,458612.51,NC,416884,NC,158.4,147.2,NC,NC,60,60,288,312,NC,NC,2980,NC,2980,5,NC,15211,14900,NC,24,8760,0,2610,62599.84,135420,6418979,72006,930101,1805337.08,1480004.14,1492843.86,1931468.76,709886.46,709886.46,7,11,22,22,59,59,1,49,75.83,NC,NC,NC
25,2922090.6,1870680.58,4589729.42,2663761.28,3034068,1928669.79,2659.32,369,810,612.72,406,419,1859,2045,143,226,14074,9849,13413,4.23,4.23,60545,59533,41661,24,8760,3750000,142979,132401.79,2239788.23,102675451.7,3324619.69,2071409.95,6863075.94,5819024.82,8082056.48,13349680.67,NR,NR,18,59,1542,1949,49,61,805,279,214.65,144,80,152.4
26,NC,1779657,1779657,NC,1256756,NR,313.2,366.8,NC,79.2,84,180,409,481,0,5,5511,2287,4324,6,6,33886,32916,13734,24,8760,0,NR,230369.66,532626.18,24069762,826945.84,4956833.49,3646287.91,3082894.1,3825409.58,4407652.36,573058.88,754327,10,29,1285,1513,24,24,3,432,136.9,85,16,25.32
